#	Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIRMASS
142	KELT21Ab-0142I_calibrated.fit	2457624.784896	0.297664	0.000709	-1.000000
143	KELT21Ab-0143I_calibrated.fit	2457624.786667	0.298541	0.000709	-1.000000
144	KELT21Ab-0144I_calibrated.fit	2457624.788438	0.296967	0.000707	-1.000000
145	KELT21Ab-0145I_calibrated.fit	2457624.790208	0.297050	0.000711	-1.000000
146	KELT21Ab-0146I_calibrated.fit	2457624.791979	0.297216	0.000711	-1.000000
147	KELT21Ab-0147I_calibrated.fit	2457624.793750	0.297315	0.000711	-1.000000
148	KELT21Ab-0148I_calibrated.fit	2457624.795521	0.297636	0.000713	-1.000000
149	KELT21Ab-0149I_calibrated.fit	2457624.797292	0.297823	0.000714	-1.000000
150	KELT21Ab-0150I_calibrated.fit	2457624.799062	0.297552	0.000712	-1.000000
151	KELT21Ab-0151I_calibrated.fit	2457624.800833	0.298436	0.000714	-1.000000
152	KELT21Ab-0152I_calibrated.fit	2457624.802604	0.298353	0.000717	-1.000000
153	KELT21Ab-0153I_calibrated.fit	2457624.804375	0.297018	0.000714	-1.000000
154	KELT21Ab-0154I_calibrated.fit	2457624.806157	0.297086	0.000716	-1.000000
155	KELT21Ab-0155I_calibrated.fit	2457624.807940	0.298087	0.000718	-1.000000
156	KELT21Ab-0156I_calibrated.fit	2457624.809710	0.297556	0.000721	-1.000000
157	KELT21Ab-0157I_calibrated.fit	2457624.811481	0.297734	0.000726	-1.000000
158	KELT21Ab-0158I_calibrated.fit	2457624.813252	0.298032	0.000726	-1.000000
159	KELT21Ab-0159I_calibrated.fit	2457624.815023	0.297944	0.000729	-1.000000
160	KELT21Ab-0160I_calibrated.fit	2457624.816794	0.298933	0.000730	-1.000000
161	KELT21Ab-0161I_calibrated.fit	2457624.818564	0.298714	0.000732	-1.000000
162	KELT21Ab-0162I_calibrated.fit	2457624.820335	0.297185	0.000733	-1.000000
163	KELT21Ab-0163I_calibrated.fit	2457624.822106	0.297972	0.000733	-1.000000
164	KELT21Ab-0164I_calibrated.fit	2457624.823877	0.296714	0.000731	-1.000000
165	KELT21Ab-0165I_calibrated.fit	2457624.825648	0.299091	0.000737	-1.000000
166	KELT21Ab-0166I_calibrated.fit	2457624.827418	0.298023	0.000738	-1.000000
